SC/SSD	SETTORE CONCORSUALE	Numero articoli 10 anni	Numero citazioni 15 anni	Indice H 15 anni	Numero articoli 5 anni	Numero citazioni 10 anni	Indice H 10 anni
09/E2	INGEGNERIA DELL'ENERGIA ELETTRICA	10	332	10	6	171	7
09/E3	ELETTRONICA	20	385	11	12	165	7
09/E4	MISURE	18	361	9	12	220	7
09/E4-ING-IND/12	MISURE	15	190	7	7	60	5
09/F1	CAMPI ELETTROMAGNETICI	25	445	13	15	162	8
09/F2	TELECOMUNICAZIONI	18	557	12	9	200	8
09/G1	AUTOMATICA	17	459	11	8	125	6
09/G2	BIOINGEGNERIA	33	662	14	16	179	8
09/H1	SISTEMI DI ELABORAZIONE DELLE INFORMAZIONI	11	307	9	4	99	6
11/E1	PSICOLOGIA GENERALE, PSICOBIOLOGIA E PSICOMETRIA	22	508	13	9	109	5
11/E1-M-PSI/01	PSICOLOGIA GENERALE, PSICOBIOLOGIA E PSICOMETRIA	11	129	6	--	--	--
11/E1-M-PSI/03	PSICOLOGIA GENERALE, PSICOBIOLOGIA E PSICOMETRIA	11	140	5	7	23	3
11/E2	PSICOLOGIA DELLO SVILUPPO E DELL'EDUCAZIONE	8	42	4	5	15	2
11/E3	PSICOLOGIA SOCIALE, DEL LAVORO E DELLE ORGANIZZAZIONI	9	60	4	6	20	3
11/E4	PSICOLOGIA CLINICA E DINAMICA	9	72	4	4	14	2
11/E4-M-PSI/07	PSICOLOGIA CLINICA E DINAMICA	4	2	1	3	1	1
